inline_count,external_count,onclick_count,onload_count,onchange_count,avg_inline_script_block,avg_external_script_block,avg_onclick_count,avg_onload_count,avg_onchange_count,avg_cyc_complexity,library_code_count,type
12,2,1,4,0,0,0,0,2,0,0,0,phish
24,24.5,2,1,0,0,550.6363636,18304,6,11,0.909090909,10,alexa
16,20,1,0,4,0,217.9230769,8636,3,13,0.615384615,8,alexa
2,3,1,1,0,0,14,61,2,1,0,0,phish
11,23,2,0,0,0,757.4210526,51657,4,19,0.842105263,16,alexa
7,17,1,0,0,0,107,4521,7,10,0.7,7,alexa
0,0,1,3,0,0,0,0,0,0,0,0,phish
1,0,2,0,0,0,0,0,0,0,0,0,phish
11,11,1,0,1,0,563.4444444,16257,2,9,1,9,alexa
0,4,1,0,0,0,14,60,3,1,0,0,phish
4,7,1,0,0,0,202.6,2776,2,5,0.6,3,alexa
11,17,1,0,6,0,369.6666667,6955,3,9,1,9,phish
21,53,1,0,2,0,136.9117647,12053,15,34,0.5,17,alexa
15,22,1,4,0,0,417,21137,3,17,0.882352941,15,alexa
12,10.5,2,0,1,0,533.5,12023,3,8,1,8,alexa
0,2,1,1,1,0,0,0,0,0,0,0,phish
4,4.5,2,0,0,0,663,2873,2,2,1,2,alexa
1,1,1,0,0,0,4,39,0,1,0,0,phish
0.5,2.5,2,0,0,0,0,0,3,0,0,0,phish
5,7,1,1,0,0,392,4621,2,4,0.75,3,alexa
0,0,1,0,0,0,0,0,0,0,0,0,alexa
6,13,2,0,0,0,145.25,3630,4,8,0.5,4,alexa
3,6,1,0,0,0,61,500,3,2,0,0,phish
3,23,2,0,0,0,157.5,2993,15,6,0.5,3,alexa
11,22.5,2,0,3,0,467.9333333,31186,5,15,0.733333333,11,alexa
9,31,2,12,1,0,475.6666667,37095,9,21,0.80952381,17,alexa
14,25,1,0,0,0,167.6666667,8432,10,15,0.733333333,11,alexa
13,22.5,2,0,0,0,710.4666667,29916,6,15,0.8,12,alexa
0,0,1,0,0,0,0,0,0,0,0,0,alexa
3,16,2,0,0,0,123.6666667,2284,10,6,0.333333333,2,alexa
0,3,2,0,0,0,207,387,2,1,1,1,phish
10,14,2,1,0,0,113.4166667,3972,2,12,0.166666667,2,alexa
4,15,2,1,0,0,36,786,6,7,0.714285714,5,alexa
3,5,1,0,0,0,48.8,894,0,5,0,0,phish
0,0,1,0,0,0,0,0,0,0,0,0,phish
28,34.33333333,3,61.33333333,0,0.666666667,199.16,20452,15,25,0.68,17,phish
10,19.66666667,3,25,0,0.666666667,164.7777778,10384,5,18,0.277777778,5,alexa
0,3,2,0,0,0,207,387,2,1,1,1,phish
9,23,2,3,0,1,314,14885,13,9,0.333333333,3,alexa
1,2,1,0,0,0,141,525,0,2,0.5,1,phish
6,15,2,0,0,0,120.6,2217,6,10,0.9,9,alexa
9,15,2,0,0,0,221,6803,8,7,0.857142857,6,alexa
7,10,1,0,0,0,839.3333333,13055,4,6,1,6,alexa
5,23,3,0,0,0,770.3333333,38414,9,15,0.8,12,alexa
1,12,2,0,0,0,218.1428571,3642,4,7,0.571428571,4,alexa
2,4,1,0,0,0,521,1782,3,1,1,1,alexa
3,1,1,0,0,0,181,426,0,1,1,1,phish
10,5,1,0,0,0,0,0,0,0,0,0,phish
6,28,2,0,0,0,84.75,4867,12,16,0.625,10,alexa
